campus_id,campus_name,hospital_name,province,province_en,city,city_en,evidence_year,bed_value,status_event,source_urls
P2C000229,阳光融和医院主院区,阳光融和医院,山东省,Shandong,潍坊市,Weifang,2020,2000,,https://jobcareer.sdu.edu.cn/eweb/jygl/index.so?id=8A5Fb3EYouVDmu1FEfhNNK&modcode=jygl_zpxxck&subsyscode=zpfw&type=ssoViewZpxx
P2C000229,阳光融和医院主院区,阳光融和医院,山东省,Shandong,潍坊市,Weifang,2021,2000,,https://www.ygrhhospital.com/content/details26_11790.html
P2C000229,阳光融和医院主院区,阳光融和医院,山东省,Shandong,潍坊市,Weifang,2022,2000,,https://www.ygrhhospital.com/content/details23_12839.html
P2C000229,阳光融和医院主院区,阳光融和医院,山东省,Shandong,潍坊市,Weifang,2024,2000,,https://www.ygrhhospital.com/other/1.pdf
P2C000231,深圳市人民医院坂田院区,深圳市人民医院,广东省,Guangdong,深圳市,Shenzhen,2020,21,,https://sz.bendibao.com/news/2020916/846902.htm|https://www.sznews.com/news/content/2020-09/17/content_23563553.htm
P2C000232,广东省中医院大学城医院,广东省中医院,广东省,Guangdong,广州市,Guangzhou,2007,900,,https://news.sina.com.cn/o/2007-11-27/151312978554s.shtml
P2C000232,广东省中医院大学城医院,广东省中医院,广东省,Guangdong,广州市,Guangzhou,2019,900,,https://www.panyu.gov.cn/zwgk/yajytacl/2019/yajy/content/post_6458003.html
P2C000236,深圳市龙岗中心医院主院区,深圳市龙岗中心医院,广东省,Guangdong,深圳市,Shenzhen,2022,910,,https://www.lg.gov.cn/bmzz/wjj/xxgk/jgsz/zsjg/content/post_9602206.html
P2C000236,深圳市龙岗中心医院主院区,深圳市龙岗中心医院,广东省,Guangdong,深圳市,Shenzhen,2023,1075,,https://www.lg.gov.cn/bmzz/wjj/xxgk/qt/tzgg/content/post_10926116.html
P2C000236,深圳市龙岗中心医院主院区,深圳市龙岗中心医院,广东省,Guangdong,深圳市,Shenzhen,2024,1075,,https://www.lg.gov.cn/xxgk/zwgk/tzgg/content/post_11222973.html
P2C000238,深圳市龙华区人民医院主院区,深圳市龙华区人民医院,广东省,Guangdong,深圳市,Shenzhen,2024,1500,,https://wjw.sz.gov.cn/wzx/content/post_11197989.html
