legal_entity_id,hospital_legal_entity_name,aliases_or_campus_names,institution_category,province,province_en,city,city_en,tertiary_grade_a_analysis_start_year,primary_source_urls
LE001694,重庆市永川区中医院,,traditional_chinese_medicine_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://www.cqyc.gov.cn/sy_204/qxdt/202304/t20230420_11895119.html
LE001696,重庆市江津区中医院,,traditional_chinese_medicine_hospital,重庆市,Chongqing,重庆市,Chongqing,2015,https://cq.news.fang.com/2015-12-30/18849955.htm
LE001697,重庆市江津区中心医院,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://epaper.cqrb.cn/cqrb/2022-10/16/027/content_rb_307510.htm
LE001698,重庆大学附属涪陵医院,重庆市涪陵中心医院,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://health.baidu.com/doctordec/hosintro/1000810
LE001699,重庆市涪陵区中医院,,traditional_chinese_medicine_hospital,重庆市,Chongqing,重庆市,Chongqing,2017,https://wsjkw.cq.gov.cn/zwgk_242/fdzdgknr/tzgg/gzgs/201702/t20170208_3755591.html
LE001700,重庆市璧山区人民医院,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2018,https://www.bsrmyy.com/yygk/yyjj
LE001701,重庆市第九人民医院,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://s.dayi.org.cn/mip/s/hospital/1133519.html
LE001702,重庆市第五人民医院,,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://s.dayi.org.cn/mip/s/hospital/1130776.html
LE001703,重庆市铜梁区中医院,,traditional_chinese_medicine_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://s.dayi.org.cn/mip/s/hospital/1152461.html
LE001704,重庆市长寿区人民医院,重庆市长寿区人民医院(北城院区),general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://www.dayi.org.cn/hospital/1135686
LE001705,重庆市黔江中心医院,重庆市黔江中心医院城西九路院区,general_hospital,重庆市,Chongqing,重庆市,Chongqing,2014,https://www.qjzxyy.cn/about/jianjie.html
LE001709,咸阳市中心医院,,general_hospital,陕西省,Shaanxi,咸阳市,Xianyang,2014,https://www.wangshangshaanxi.com/xianyang/xyzfxx/xyszxyy/index2.html
LE001710,咸阳市第一人民医院,,general_hospital,陕西省,Shaanxi,咸阳市,Xianyang,2018,https://www.dayi.org.cn/hospital/785.html
LE001711,延安大学咸阳医院,,general_hospital,陕西省,Shaanxi,咸阳市,Xianyang,2018,https://sxwjw.shaanxi.gov.cn/ywgz/yzyg/gzdt_887/201811/t20181113_1804674.html
LE001713,陕西中医药大学第二附属医院,陕西中医学院附属医院(西咸院区);陕西中医药大学第二附属医院秦都院区,traditional_chinese_and_western_medicine_hospital,陕西省,Shaanxi,咸阳市,Xianyang,2014,https://www.zyhos.cn/info/1551/77871.htm
LE001714,陕西中医药大学附属医院,陕西中医学院附属医院,traditional_chinese_medicine_hospital,陕西省,Shaanxi,咸阳市,Xianyang,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001715,陕西省核工业二一五医院,,general_hospital,陕西省,Shaanxi,咸阳市,Xianyang,2018,https://www.xy215.com/info/1021/26731.htm
LE001716,商洛市中心医院,,general_hospital,陕西省,Shaanxi,商洛市,Shangluo,2019,https://eslrb.slrbs.com/slrb/20190325/html/content_20190325003002.htm
LE001717,安康市中心医院,安康市中心医院(江北院区),general_hospital,陕西省,Shaanxi,安康市,Ankang,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001719,宝鸡市中医医院,宝鸡市中医医院(东院区),traditional_chinese_medicine_hospital,陕西省,Shaanxi,宝鸡市,Baoji,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001720,宝鸡市中心医院,,general_hospital,陕西省,Shaanxi,宝鸡市,Baoji,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001721,宝鸡市人民医院,,general_hospital,陕西省,Shaanxi,宝鸡市,Baoji,2017,https://m.bjsrmyy.com/mobile/headlines/6066.html
LE001723,延安大学附属医院,,general_hospital,陕西省,Shaanxi,延安市,Yanan,2014,https://s.dayi.org.cn/mip/s/hospital/1423.html
LE001724,延安市人民医院,,general_hospital,陕西省,Shaanxi,延安市,Yanan,2017,https://www.moe.gov.cn/jyb_xwfb/xw_zt/moe_357/jjyzt_2022/2022_zt04/dianxing/xiangmu/shengshu/shengshu7th/202503/t20250317_1183376.html
LE001725,榆林市中医医院,,traditional_chinese_medicine_hospital,陕西省,Shaanxi,榆林市,Yulin,2014,https://www.dayi.org.cn/hospital/1134374.html
LE001726,榆林市第一医院,榆林市第一医院绥德院区,general_hospital,陕西省,Shaanxi,榆林市,Yulin,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001727,榆林市第二医院,,general_hospital,陕西省,Shaanxi,榆林市,Yulin,2014,https://www.ylsdeyy.com/InfoDetail.aspx?id=819FB62C-188A-43A0-9073-61A54F71B191&mid=82E6A1BD-6C3E-42D8-92AC-69031F4E6CFC
LE001728,汉中市中心医院,,general_hospital,陕西省,Shaanxi,汉中市,Hanzhong,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001729,汉中三二〇一医院,通用技术医疗三二〇一医院,general_hospital,陕西省,Shaanxi,汉中市,Hanzhong,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001730,渭南市中心医院,,general_hospital,陕西省,Shaanxi,渭南市,Weinan,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001739,西安中医脑病医院,,specialized_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://esb.sxdaily.com.cn/pc/content/202605/18/content_2047269.html
LE001740,西安交通大学第一附属医院,西安交通大学医学院第一附属医院,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001742,西安交通大学口腔医院,西安交通大学医学院附属口腔医院,specialized_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://zl.39.net/mndjk/130225/4129880.html
LE001743,西安市红会医院,西安交通大学医学院附属红会医院,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001744,西安市第九医院,西安交通大学医学院附属西安市第九医院,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.xasdjyy.cn/yygk/lsyg.htm
LE001745,西安交通大学第二附属医院,西安交通大学医学院第二附属医院;西安交通大学第二附属医院(大明宫院区),general_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001747,西安医学院第二附属医院,,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2018,https://www.xiyi.edu.cn/info/1074/17603.htm
LE001748,西安医学院第一附属医院,西安医学院附属医院,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2016,https://news.cctv.com/2016/09/09/VIDEmthiijB4uRDVcZtlUFpy160909.shtml
LE001749,西安大兴医院,,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2021,https://health.hsw.cn/system/2021/0302/79309.shtml
LE001750,西安市中心医院,,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001751,西安市儿童医院,西安交通大学附属儿童医院;西安市儿童医院(经开院区),specialized_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001752,西安市第一医院,西安市第一医院(高新院区),general_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001753,西安市胸科医院,西安市第七医院,specialized_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://m.39.net/zl/a_4129883.html
LE001754,西安市第三医院,,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2021,https://med.nwu.edu.cn/info/1040/1671.htm
LE001755,西安市第五医院,,traditional_chinese_and_western_medicine_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.xadwyy.com/xxgk/gsgg/371.htm
LE001756,西安市第八医院,,specialized_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://sn.ifeng.com/a/20171109/6134196_0.shtml
LE001757,西安市人民医院（西安市第四医院）,西安市第四医院,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
LE001758,西安高新医院,,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.gxyy.cn/detail-3286.aspx
LE001759,西电集团医院,,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2018,https://s.dayi.org.cn/mip/s/hospital/3996.html
LE001760,长安医院,,general_hospital,陕西省,Shaanxi,西安市,Xi'an,2019,https://cacah.cn/info/1017/1242.htm
LE001761,西安市中医医院,陕西中医学院西安附属医院,traditional_chinese_medicine_hospital,陕西省,Shaanxi,西安市,Xi'an,2014,https://www.nhc.gov.cn/yzygj/s10347/200910/f97fe1d82631484c8330388f88734531.shtml
