Year,city_level,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2019,Large City,0.0,62.15631103515625,1541055,448925108.0,0.0,1541055,448925108.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.77405078247352,3.496855605064721,11.516234384066816,21.25168388227098,13.947450814468995,0.5069631064500639,0.4510491274307904,0.27609986044848567,13.479924139150622,,12.951450229863962,0.30277020398699994,0.1482789234437898,0.45104912743078973,0.0,67.12577091360362,32.87422908639639,80
2019,Medium/Small City,0.0,152.3114776611328,6088788,692066007.0,0.0,6088788,692066007.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,9.521033100664546,0.0,5.923195434668882,14.858679188808924,11.455227898637354,0.6072305971111132,0.6782124651705064,0.41505777003732325,28.87728872370407,,,0.5245615898220803,0.15365087534842603,0.6782124651705064,0.0,77.3447284974632,22.6552715025368,257
2019,Mega City,0.0,41.07221984863281,187176,127477651.0,0.0,187176,127477651.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,20.421552246708867,14.767992833914933,20.323628775621888,27.815729768247333,10.228944485113905,0.2848395179630666,0.16026170735362072,0.10913068788940727,4.630843880234348,7.244894147088158,2.5365625402358805,0.12258403933026152,0.0376776680233597,0.16026170735362122,0.0,76.4899122531978,23.5100877468022,7
2019,Super City,0.0,72.29585266113281,254564,119505076.0,0.0,254564,119505076.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,30.473581808465305,18.289024474303847,33.0972532334191,41.90846216583252,16.909965419683765,0.312587739025162,0.19683831625603668,0.13483454410575124,5.820941865264367,14.858624221466219,3.128590465341957,0.1740391901399163,0.022799126116120227,0.19683831625603654,0.0,88.41733329680366,11.582666703196328,14
2019,,0.0,44.442604064941406,20499,2312174.0,0.0,20499,2312174.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,6.153991426498246,0.0,1.8696519850275002,9.182942238889,8.920378930519773,0.6944076688887985,0.9147393669658745,0.5303291208665581,40.57739599182415,,,0.9147393669658743,0.0,0.9147393669658743,0.0,100.0,0.0,1
2020,Large City,0.0,65.83927154541016,1542061,450023843.0,0.0,1542061,450023843.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,15.678097030280583,4.413773987095673,12.257470474064908,22.12722781694579,14.588803235405539,0.497533695745901,0.4327067282032302,0.26238421018647395,12.138559956255474,,9.765964887115684,0.2823367479263048,0.15036998027692494,0.43270672820322975,0.0,65.24898494152822,34.751015058471786,80
2020,Medium/Small City,0.0,163.81317138671875,6065513,694091198.0,0.0,6065513,694091198.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.113995664049211,0.0,6.6730241775512695,15.632307052612305,11.817705997547804,0.5937208000805658,0.6461419044078793,0.3978274118220525,27.163387252751185,,,0.5037298351004091,0.1424120693074702,0.6461419044078793,0.0,77.95962955877691,22.04037044122309,257
2020,Mega City,0.0,40.48811721801758,186271,127810588.0,0.0,186271,127810588.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,21.393436884154166,15.689615594374168,21.321312847127103,29.16970485892802,10.444615914008715,0.2774903656168132,0.15189711510971837,0.1029394763930388,4.332414932634532,6.343163041566612,2.4339446876081015,0.11813126370462523,0.03376585140509247,0.1518971151097177,0.0,77.7705775513229,22.229422448677095,7
2020,Super City,0.0,71.78057861328125,254013,119911899.0,0.0,254013,119911899.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,31.343884970565636,19.435293366157847,33.43411536409103,43.943282814166125,16.932782707744245,0.3048175206143081,0.18728212726765586,0.1288447621488824,5.836866114512955,11.018741570904153,2.884755403943804,0.165594184135736,0.021687943131920573,0.18728212726765658,0.0,88.41964075892571,11.580359241074285,14
2020,,0.0,45.52310562133789,23660,2734845.0,0.0,23660,2734845.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.3243797446008,0.0,3.279353062311808,11.925549989922224,9.411478649622248,0.6473551717890773,0.7744049926051899,0.4648687144937701,33.1244732334008,,,0.7744049926051892,0.0,0.7744049926051892,0.0,100.0,0.0,1
