Year,省级,省级码,min,max,grid_num,pop_num,snap_invalid_pop_pct,valid_acc_grid_num,valid_acc_pop_num,valid_acc_pop_pct,inequality_population_universe,pop_mean,pop_25%,pop_median,pop_75%,pop_std,pop_gini,pop_theil,pop_atkinson_05,zero_access_pop_pct,p90_p10,p80_p20,pop_theil_within_city,pop_theil_between_city,pop_theil_decomp_sum,pop_theil_decomp_residual,pop_theil_within_city_share_pct,pop_theil_between_city_share_pct,pop_theil_city_count
2017,河南省,410000,0.0,57.503543853759766,228190,97162832.0,0.0,228190,97162832.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.666965913321029,1.874341368675232,7.28047989493563,14.287782198925942,11.69438803403946,0.5594202778454658,0.5507579934302421,0.3206409918430676,15.646115584609554,,19.687002005385672,0.2812065601577318,0.2695514332725102,0.550757993430242,0.0,51.058098749745874,48.94190125025413,18
2017,浙江省,330000,0.0,46.328006744384766,130137,56084355.0,0.0,130137,56084355.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.345079569063973,6.355594721713731,12.42610848905668,19.080673637258176,10.576173085176949,0.4060449309270777,0.28101709761521343,0.16464351846702086,4.589358297871127,14.787536180040497,4.011184123033554,0.19337773305277306,0.08763936456244048,0.28101709761521354,0.0,68.81351159549664,31.186488404503365,11
2017,海南省,460000,0.0,39.78239822387695,38050,8925006.0,0.0,38050,8925006.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,14.369308145573958,0.0,6.602220819351521,32.12892768502765,15.469123000062888,0.5832677306800904,0.6587339500388643,0.42278488052971397,30.058881753132717,,,0.10137885669387892,0.5573550933449858,0.6587339500388647,0.0,15.389954728748634,84.61004527125137,19
2017,湖北省,420000,0.0,62.2242546081543,243794,59139021.0,0.0,243794,59139021.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,15.792257746034352,0.8485385090112686,9.719065812237025,27.27695268128135,16.672772836103196,0.5722703246957926,0.5898933111305243,0.36389490119081414,19.939203931022124,,18190.389598420894,0.34209974215936256,0.24779356897116145,0.589893311130524,0.0,57.9934940275441,42.006505972455905,17
2017,湖南省,430000,0.0,53.331825256347656,270557,67933038.0,0.0,270557,67933038.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.52052760041106,0.0,5.935012340545654,16.730382919311523,12.778635828287273,0.6210932218645395,0.7010815674071036,0.42232992350708,27.56488823597143,,,0.42502700813186456,0.27605455927523925,0.7010815674071038,0.0,60.62447336959581,39.37552663040419,14
2017,甘肃省,620000,0.0,47.73497009277344,330812,26418742.0,0.0,330812,26418742.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.221522004844267,0.0,0.0,17.616735693097336,14.325404542588515,0.6965390385483267,0.9526932568438637,0.5728485911179242,50.044392726951195,,,0.5095650039649171,0.44312825287894597,0.9526932568438631,0.0,53.48678604622786,46.513213953772144,14
2017,福建省,350000,0.0,38.01274108886719,154212,37985093.0,0.0,154212,37985093.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,12.47225798594747,1.023395840211775,10.889636165416793,20.438241650044677,11.189391451320326,0.5003597004568254,0.46363521909473493,0.31320869883459,21.79809063518681,,,0.3062778585579209,0.15735736053681393,0.4636352190947348,0.0,66.0600933544134,33.93990664558661,9
2017,西藏自治区,540000,0.0,70.23695373535156,555652,4143475.0,0.0,555652,4143475.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,7.167836524160746,0.0,0.0,0.0,16.436183993975156,0.8554616986342851,1.7702879014340673,0.8207405742690411,80.51524384725381,,,0.9338462515973651,0.836441649836702,1.7702879014340671,0.0,52.75109494003088,47.24890505996912,7
2017,贵州省,520000,0.0,61.12737274169922,228175,35900917.0,0.0,228175,35900917.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,10.766071939061849,0.0,4.120497408815267,17.810794163088225,13.56640186042839,0.6515384333391847,0.8098152601867128,0.5043723521863656,41.105688191752876,,,0.6032238119715365,0.2065914482151765,0.809815260186713,0.0,74.4890645592991,25.510935440700916,9
2017,辽宁省,210000,0.0,46.49924850463867,211324,45183386.0,0.0,211324,45183386.0,1.0,finite_acc_ge_0_and_positive_population_for_all_formal_inequality_metrics,17.2709787507187,2.3946031369268894,14.61106055013401,28.051789613870476,14.882694653087928,0.4871144880395455,0.440681810414328,0.29519637783536745,18.178710643775126,,96.62123142873821,0.31008285532336677,0.13059895509096098,0.44068181041432775,0.0,70.36434179841183,29.63565820158818,14
