variable,year,x,density,bw_adjust,n_grid_rows,population_weight_sum
GDP_per,2023,73158.01507537688,9.37997800966535e-06,5.0,5176700,1330280904.0
GDP_per,2023,74488.1608040201,9.19867720729105e-06,5.0,5176700,1330280904.0
GDP_per,2023,75818.30653266331,9.016570995301805e-06,5.0,5176700,1330280904.0
GDP_per,2023,77148.45226130652,8.83474724331684e-06,5.0,5176700,1330280904.0
GDP_per,2023,78478.59798994975,8.654068853724651e-06,5.0,5176700,1330280904.0
GDP_per,2023,79808.74371859296,8.475181512930821e-06,5.0,5176700,1330280904.0
GDP_per,2023,81138.88944723617,8.2985270994125e-06,5.0,5176700,1330280904.0
GDP_per,2023,82469.0351758794,8.124361927383715e-06,5.0,5176700,1330280904.0
GDP_per,2023,83799.18090452261,7.95277890196286e-06,5.0,5176700,1330280904.0
GDP_per,2023,85129.32663316582,7.783732593107076e-06,5.0,5176700,1330280904.0
GDP_per,2023,86459.47236180904,7.617066209875475e-06,5.0,5176700,1330280904.0
GDP_per,2023,87789.61809045225,7.452539459967462e-06,5.0,5176700,1330280904.0
GDP_per,2023,89119.76381909547,7.289856325935189e-06,5.0,5176700,1330280904.0
GDP_per,2023,90449.90954773869,7.1286918592255575e-06,5.0,5176700,1330280904.0
GDP_per,2023,91780.0552763819,6.968717195170344e-06,5.0,5176700,1330280904.0
GDP_per,2023,93110.20100502513,6.809622111245951e-06,5.0,5176700,1330280904.0
GDP_per,2023,94440.34673366834,6.6511345879020485e-06,5.0,5176700,1330280904.0
GDP_per,2023,95770.49246231155,6.493036975450996e-06,5.0,5176700,1330280904.0
GDP_per,2023,97100.63819095476,6.3351785186256365e-06,5.0,5176700,1330280904.0
GDP_per,2023,98430.78391959798,6.177484134524486e-06,5.0,5176700,1330280904.0
GDP_per,2023,99760.9296482412,6.019959475532051e-06,5.0,5176700,1330280904.0
GDP_per,2023,101091.07537688442,5.862692430485009e-06,5.0,5176700,1330280904.0
GDP_per,2023,102421.22110552763,5.7058513225643544e-06,5.0,5176700,1330280904.0
GDP_per,2023,103751.36683417085,5.549680148317845e-06,5.0,5176700,1330280904.0
GDP_per,2023,105081.51256281407,5.3944912633356046e-06,5.0,5176700,1330280904.0
GDP_per,2023,106411.65829145728,5.240655965428484e-06,5.0,5176700,1330280904.0
GDP_per,2023,107741.80402010049,5.088593444748035e-06,5.0,5176700,1330280904.0
GDP_per,2023,109071.9497487437,4.938758573386429e-06,5.0,5176700,1330280904.0
GDP_per,2023,110402.09547738693,4.791628991574418e-06,5.0,5176700,1330280904.0
GDP_per,2023,111732.24120603014,4.64769191994392e-06,5.0,5176700,1330280904.0
GDP_per,2023,113062.38693467336,4.507431088480209e-06,5.0,5176700,1330280904.0
GDP_per,2023,114392.53266331658,4.371314126934563e-06,5.0,5176700,1330280904.0
GDP_per,2023,115722.6783919598,4.2397807135382025e-06,5.0,5176700,1330280904.0
GDP_per,2023,117052.824120603,4.1132317286053115e-06,5.0,5176700,1330280904.0
GDP_per,2023,118382.96984924622,3.992019612544677e-06,5.0,5176700,1330280904.0
GDP_per,2023,119713.11557788943,3.876440083277839e-06,5.0,5176700,1330280904.0
GDP_per,2023,121043.26130653266,3.766725328250392e-06,5.0,5176700,1330280904.0
GDP_per,2023,122373.40703517587,3.66303875276486e-06,5.0,5176700,1330280904.0
GDP_per,2023,123703.55276381908,3.56547133519452e-06,5.0,5176700,1330280904.0
GDP_per,2023,125033.69849246231,3.474039615758463e-06,5.0,5176700,1330280904.0
GDP_per,2023,126363.84422110552,3.3886853223071034e-06,5.0,5176700,1330280904.0
GDP_per,2023,127693.98994974873,3.309276616907094e-06,5.0,5176700,1330280904.0
GDP_per,2023,129024.13567839195,3.2356109275020986e-06,5.0,5176700,1330280904.0
GDP_per,2023,130354.28140703516,3.167419309342383e-06,5.0,5176700,1330280904.0
GDP_per,2023,131684.4271356784,3.1043722593374776e-06,5.0,5176700,1330280904.0
GDP_per,2023,133014.57286432158,3.0460868844344553e-06,5.0,5176700,1330280904.0
GDP_per,2023,134344.7185929648,2.9921352988035544e-06,5.0,5176700,1330280904.0
GDP_per,2023,135674.86432160804,2.94205409874269e-06,5.0,5176700,1330280904.0
GDP_per,2023,137005.01005025124,2.895354734770029e-06,5.0,5176700,1330280904.0
GDP_per,2023,138335.15577889446,2.851534572159173e-06,5.0,5176700,1330280904.0
GDP_per,2023,139665.3015075377,2.8100884029018826e-06,5.0,5176700,1330280904.0
GDP_per,2023,140995.4472361809,2.770520146279918e-06,5.0,5176700,1330280904.0
GDP_per,2023,142325.5929648241,2.7323544536127713e-06,5.0,5176700,1330280904.0
GDP_per,2023,143655.73869346734,2.6951479165310198e-06,5.0,5176700,1330280904.0
GDP_per,2023,144985.88442211054,2.6584995686794443e-06,5.0,5176700,1330280904.0
GDP_per,2023,146316.03015075377,2.622060370724062e-06,5.0,5176700,1330280904.0
GDP_per,2023,147646.17587939696,2.585541376865079e-06,5.0,5176700,1330280904.0
GDP_per,2023,148976.3216080402,2.548720301246361e-06,5.0,5176700,1330280904.0
GDP_per,2023,150306.46733668342,2.5114462324303167e-06,5.0,5176700,1330280904.0
GDP_per,2023,151636.61306532662,2.4736422857287756e-06,5.0,5176700,1330280904.0
GDP_per,2023,152966.75879396984,2.4353060345598607e-06,5.0,5176700,1330280904.0
GDP_per,2023,154296.90452261304,2.3965076230245213e-06,5.0,5176700,1330280904.0
GDP_per,2023,155627.05025125627,2.3573855308411485e-06,5.0,5176700,1330280904.0
GDP_per,2023,156957.1959798995,2.3181400368433025e-06,5.0,5176700,1330280904.0
GDP_per,2023,158287.3417085427,2.2790245056017694e-06,5.0,5176700,1330280904.0
GDP_per,2023,159617.48743718592,2.240334701604383e-06,5.0,5176700,1330280904.0
GDP_per,2023,160947.63316582915,2.2023964127726427e-06,5.0,5176700,1330280904.0
GDP_per,2023,162277.77889447234,2.1655517373919978e-06,5.0,5176700,1330280904.0
GDP_per,2023,163607.92462311557,2.1301444523686305e-06,5.0,5176700,1330280904.0
GDP_per,2023,164938.0703517588,2.096504932669365e-06,5.0,5176700,1330280904.0
GDP_per,2023,166268.216080402,2.064935129270709e-06,5.0,5176700,1330280904.0
GDP_per,2023,167598.36180904522,2.03569413329708e-06,5.0,5176700,1330280904.0
GDP_per,2023,168928.50753768842,2.008984854802812e-06,5.0,5176700,1330280904.0
GDP_per,2023,170258.65326633165,1.9849423256012765e-06,5.0,5176700,1330280904.0
GDP_per,2023,171588.79899497487,1.9636240949283287e-06,5.0,5176700,1330280904.0
GDP_per,2023,172918.94472361807,1.945003126373055e-06,5.0,5176700,1330280904.0
GDP_per,2023,174249.0904522613,1.9289635244620894e-06,5.0,5176700,1330280904.0
GDP_per,2023,175579.2361809045,1.915299323747921e-06,5.0,5176700,1330280904.0
GDP_per,2023,176909.38190954772,1.9037164637845274e-06,5.0,5176700,1330280904.0
GDP_per,2023,178239.52763819095,1.8938379556032263e-06,5.0,5176700,1330280904.0
GDP_per,2023,179569.67336683415,1.8852121234656422e-06,5.0,5176700,1330280904.0
GDP_per,2023,180899.81909547737,1.8773236850876315e-06,5.0,5176700,1330280904.0
GDP_per,2023,182229.9648241206,1.8696073197474024e-06,5.0,5176700,1330280904.0
GDP_per,2023,183560.1105527638,1.8614632720852527e-06,5.0,5176700,1330280904.0
GDP_per,2023,184890.25628140703,1.852274454670838e-06,5.0,5176700,1330280904.0
GDP_per,2023,186220.40201005025,1.8414244489334011e-06,5.0,5176700,1330280904.0
GDP_per,2023,187550.54773869345,1.8283157650443655e-06,5.0,5176700,1330280904.0
