curve_family,group_name,rank_var,year,x,y,ci
citylevel_gdp,Medium/Small City,GDP_per,2014,0.18456875115275,0.1254455811856928,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.1933283247050474,0.1295160029819699,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2038029316548271,0.1332485591098243,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2162903811875797,0.1334735918970007,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2255835295305476,0.1438835872336378,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2271505095531385,0.1439426643187028,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2288516910105747,0.1440313301332701,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2337940240864316,0.1443140382788345,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2355953933835665,0.1530630059061517,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2444193534556897,0.163180200470954,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2524580541874616,0.1713797754096052,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2617927315932287,0.1776140819139584,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2740703617781738,0.1813100863727987,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2780466211215837,0.1814670917442079,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2835537447689757,0.1913534467873774,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2863965732571355,0.1926831703899865,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2879525961493168,0.19629066582268,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2929605315316002,0.1970008036700695,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.2953375214333185,0.2008848076944765,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.3035054333561717,0.2060139976099875,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.3071011598552328,0.2079561980263722,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.3167693524433425,0.2204241280033107,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.3226468679035199,0.2281145034686648,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.3300356813633766,0.2302512157317659,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.3345057390403765,0.2362442703640054,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.3411588845434543,0.2390908996717532,0.1471101874188543
citylevel_gdp,Medium/Small City,GDP_per,2014,0.3440931344980517,0.2396922095237528,0.1471101874188543
