campus_id,campus,legal_entity_id,legal_entity,province,province_en,city,city_en,lng,lat,beds
R001168,萍乡市人民医院,LE001055,萍乡市人民医院,江西省,Jiangxi,萍乡市,Pingxiang,113.8771972,27.64991499,1728
R001112,赣南医科大学第一附属医院(黄金院区),LE001059,赣南医科大学第一附属医院,江西省,Jiangxi,赣州市,Ganzhou,114.8848721,25.84525883,3328
P2C000340,中国医学科学院肿瘤医院廊坊院区,LE000159,中国医学科学院肿瘤医院,河北省,Hebei,廊坊市,Langfang,116.7368846,39.57479936,656
R000588,石家庄市中医院,LE001109,石家庄市中医院,河北省,Hebei,石家庄市,Shijiazhuang,114.4664487,38.04313348,1000
R000554,邯郸市第一医院,LE001128,邯郸市第一医院,河北省,Hebei,邯郸市,Handan,114.4856108,36.61960107,600
R000656,信阳市中心医院,LE001132,信阳市中心医院,河南省,Henan,信阳市,Xinyang,114.0685179,32.1283895,1500
R000637,南阳医学高等专科学校第一附属医院,LE001133,南阳医学高等专科学校第一附属医院,河南省,Henan,南阳市,Nanyang,112.5066588,32.99058815,2500
R000611,安阳市肿瘤医院,LE001148,安阳市肿瘤医院,河南省,Henan,安阳市,Anyang,114.3463672,36.11932953,1200
R000617,河南大学第一附属医院,LE001156,河南大学第一附属医院,河南省,Henan,开封市,Kaifeng,114.3405903,34.80103293,1811
R000615,焦作市中医院,LE001174,焦作市中医院,河南省,Henan,焦作市,Jiaozuo,113.2138236,35.24131209,994
P2C000132,郑州人民医院南部院区,LE001191,郑州人民医院,河南省,Henan,郑州市,Zhengzhou,113.6688469,34.70538982,600
R000691,郑州市中医院,LE001198,郑州市中医院,河南省,Henan,郑州市,Zhengzhou,113.6102016,34.75228009,1500
R001998,宁波市医疗中心李惠利医院(东部院区),LE001227,宁波市医疗中心李惠利医院,浙江省,Zhejiang,宁波市,Ningbo,121.6196756,29.89132048,1400
R000820,国药东风总医院,LE001321,国药东风总医院,湖北省,Hubei,十堰市,Shiyan,110.766614,32.65965843,1100
R000882,三峡大学葛洲坝中心医院,LE001328,国药葛洲坝中心医院,湖北省,Hubei,宜昌市,Yichang,111.281332,30.72034191,1000
P2C000186,同济医院中法院区,P2L000008,华中科技大学同济医学院附属同济医院,湖北省,Hubei,武汉市,Wuhan,114.1081695,30.55058613,1000
P2C000177,武汉儿童医院西院,LE001355,武汉儿童医院,湖北省,Hubei,武汉市,Wuhan,114.1916592,30.50921607,660
R000836,湖北省中医院,LE001367,湖北省中医院,湖北省,Hubei,武汉市,Wuhan,114.3052535,30.54978581,750
R000826,随州市中心医院,LE001395,随州市中心医院,湖北省,Hubei,随州市,Suizhou,113.3693121,31.70931796,1500
C45C0090,石门县中医医院,C48LE0109,石门县中医医院,湖南省,Hunan,常德市,Changde,111.3765208,29.5901654,1200
F84C000008,怀化市第二人民医院（鹤城院区）,C48LE0110,怀化市第二人民医院,湖南省,Hunan,怀化市,Huaihua,110.0326992,27.57945181,760
R000960,株洲市中心医院,LE001417,株洲市中心医院,湖南省,Hunan,株洲市,Zhuzhou,113.135737,27.81550748,2600
R000219,兰州市第二人民医院,LE001479,兰州市第二人民医院,甘肃省,Gansu,兰州市,Lanzhou,103.8212448,36.06842419,1104
C45C0103,复旦大学附属中山医院厦门医院,C48LE0122,复旦大学附属中山医院厦门医院,福建省,Fujian,厦门市,Xiamen,118.1591758,24.51482453,800
R000176,宁德市闽东医院,LE001516,宁德市闽东医院,福建省,Fujian,宁德市,Ningde,119.6504367,27.08606899,1700
R000182,福建医科大学附属第二医院(鲤城院区),LE001523,福建医科大学附属第二医院,福建省,Fujian,泉州市,Quanzhou,118.5868316,24.91673881,1153
R000171,龙岩市中医院,LE001549,龙岩市中医院,福建省,Fujian,龙岩市,Longyan,117.0083601,25.0941036,800
R001837,西藏自治区藏医院,LE001556,西藏自治区藏医院（西藏自治区藏医药研究院）,西藏自治区,Tibet,拉萨市,Lhasa,91.12346542,29.66558091,519
R000472,贵航集团三0二医院,LE001561,贵航集团三0二医院,贵州省,Guizhou,安顺市,Anshun,105.9178449,26.25331994,1200
R000487,贵州省肿瘤医院,LE001569,贵州省肿瘤医院,贵州省,Guizhou,贵阳市,Guiyang,106.6232625,26.60064185,1345
R000505,遵义市第一人民医院(桃溪院区),LE001582,遵义市第一人民医院,贵州省,Guizhou,遵义市,Zunyi,106.8854992,27.66987641,1000
R001192,大连市第二人民医院,LE001609,大连市第二人民医院,辽宁省,Liaoning,大连市,Dalian,121.6160632,38.91760715,600
R001188,朝阳市中心医院,LE001613,朝阳市中心医院,辽宁省,Liaoning,朝阳市,Chaoyang,120.4497922,41.57971032,1800
R001213,葫芦岛市中心医院,LE001650,葫芦岛市中心医院,辽宁省,Liaoning,葫芦岛市,Huludao,120.8561206,40.75867593,2659
R002041,重庆大学附属肿瘤医院,LE001678,重庆大学附属肿瘤医院,重庆市,Chongqing,重庆市,Chongqing,106.4717232,29.56336229,1480
R002259,重庆市荣昌区人民医院,LE001958,重庆市荣昌区人民医院,重庆市,Chongqing,重庆市,Chongqing,105.5864173,29.41076292,1028
R002065,重庆市铜梁区中医院,LE001703,重庆市铜梁区中医院,重庆市,Chongqing,重庆市,Chongqing,106.0431688,29.8272469,820
R001526,通用技术医疗三二〇一医院,LE001729,汉中三二〇一医院,陕西省,Shaanxi,汉中市,Hanzhong,107.0209257,33.06445684,1500
R001551,西安交通大学第一附属医院雁塔院区,LE001740,西安交通大学第一附属医院,陕西省,Shaanxi,西安市,Xi'an,108.9312109,34.22043882,3320
R002266,伊春市第一医院,LE001978,伊春市第一医院,黑龙江省,Heilongjiang,伊春市,Yichun,128.8950353,47.72202698,650
R000723,哈尔滨医科大学附属第四医院,LE001801,哈尔滨医科大学附属第四医院,黑龙江省,Heilongjiang,哈尔滨市,Harbin,126.6312219,45.75951152,3689
F72P000028,鹤岗鹤矿医院有限公司,C48LE0141,鹤岗鹤矿医院有限公司,黑龙江省,Heilongjiang,鹤岗市,Hegang,130.2847002,47.3470284,838
R000773,齐齐哈尔医学院第二附属医院,LE001858,齐齐哈尔医学院附属第二医院,黑龙江省,Heilongjiang,齐齐哈尔市,Qiqihar,123.9323307,47.35526783,1700
