省级,地级,city_level,new_hosp_beds,expanded_beds,decreased_beds,closed_beds,city_pop,net_SEE_beds,net_CIE_beds,net_total_beds,SEE_city,CIE_city,Dominance_city,acc_median,acc_gini,acc_theil,acc_atkinson_05,acc_zero_access_pop_pct,acc_p90_p10,acc_p80_p20,acc_delta,gini_delta,theil_delta,atkinson_05_delta,zero_access_pop_pct_delta,p90_p10_delta,p80_p20_delta
湖北省,潜江市,Small City,950.0,0.0,0.0,0.0,985745.5,950.0,0.0,950.0,9.637375975847721,0.0,9.637375975847721,18.79888799680886,0.246446328773599,0.1125366601210635,0.0684805983315801,1.5316273604019774,4.558634911797912,2.1709961609120083,3.4390386977995426,-0.05085985159875067,-0.048886191341589086,-0.029258222218221205,0.024167266595882086,-3.7501885915837603,-0.5470202630575693
湖北省,荆州市,Medium-sized City,0.0,0.0,0.0,0.0,5957303.5,0.0,0.0,0.0,0.0,0.0,0.0,5.898800717772178,0.5671839295220169,0.5709660142496241,0.3415449459291569,14.294481242567784,,43.48988870728155,-0.8711440917245099,-0.001777494557101078,-0.008846805758576326,-0.012792946239558178,-3.3837433404521207,,-58.68583973742865
湖北省,荆门市,Medium-sized City,0.0,0.0,0.0,0.0,3006325.5,0.0,0.0,0.0,0.0,0.0,0.0,20.78094482421875,0.3943421945521049,0.2640266611170738,0.1531617048454995,2.561864246605966,11.467686553675238,5.497725573791545,0.1600415706634557,-0.012008071332855419,-0.018515110837841797,-0.0124837510412672,-0.8168499273787941,-1.5201675720496262,-0.6815339211748608
湖北省,襄阳市,Type II Large City,1800.0,0.0,0.0,0.0,5742921.5,1800.0,0.0,1800.0,3.134293233853188,0.0,3.134293233853188,15.187151556429656,0.3731911312073813,0.2806005889685078,0.2015273061768296,12.913680254721472,,6.051932634943005,3.7219035400419074,-0.07719326441564611,-0.12314682662726006,-0.08029875061592048,-5.300077741447273,,-91.24879852282844
湖北省,鄂州市,Small City,0.0,0.0,0.0,0.0,1082370.0,0.0,0.0,0.0,0.0,0.0,0.0,30.06897538180109,0.1817629004928588,0.0676092229209511,0.040565089778814,0.2119246113023999,2.571678676854932,1.6998844907826316,-1.1435285638857806,-0.02705052856080281,-0.0327596865557022,-0.024145104694440506,5.7068299764984065e-05,-1.1878650151398609,-0.19501381723641686
湖北省,随州市,Small City,0.0,0.0,0.0,0.0,2266419.5,0.0,0.0,0.0,0.0,0.0,0.0,12.681306838989258,0.4097841084521935,0.3422324727331248,0.2417511525282821,14.698655034532898,,17.110617888272873,1.1639248132705706,-0.00872853765510273,-0.008425685028374819,-0.005283511510214389,-0.48605165456744537,,-2.350233210977734
湖北省,黄冈市,Small City,2400.0,0.0,0.0,0.0,6469561.5,2400.0,0.0,2400.0,3.7096795509247418,0.0,3.7096795509247418,3.707280664200823,0.6186436391938636,0.7020667560521786,0.4306742092778546,29.544068153458884,,,3.4489724265317596,-0.1504321417226543,-0.47145541621566267,-0.18139753911077283,-12.11670248787956,,
湖北省,黄石市,Medium-sized City,0.0,0.0,0.0,0.0,2550887.5,0.0,0.0,0.0,0.0,0.0,0.0,12.088282147064584,0.3752871287289558,0.272915757133867,0.1820673395344813,8.017715099761944,31.49823898396526,6.550055199773264,0.6995572615606545,-0.015650679018958502,-0.01979051229641171,-0.010851702877411717,0.06633515264840018,-13.43537450789966,-1.1099972138758387
湖南省,娄底市,Medium-sized City,0.0,0.0,0.0,0.0,3969371.0,0.0,0.0,0.0,0.0,0.0,0.0,4.032111036219948,0.4845899164720165,0.4286220847726566,0.2832519137956024,17.055507420075816,,44.07915404970081,0.1606281288782423,-0.007519792954376103,-0.01786514818383128,-0.017946613902933894,-3.796189793491795,,
湖南省,岳阳市,Type II Large City,0.0,0.0,0.0,0.0,5728894.0,0.0,0.0,0.0,0.0,0.0,0.0,6.878113697884788,0.534403697673649,0.5333356595373268,0.3468485441431055,20.24851926812216,,,0.04586075248675847,-0.005361364703249993,-0.012859657279480019,-0.007033648048429486,-0.327649392597106,,
